+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
|              1030 |  2 |   WAITING |     READY |
|              1030 |  2 |     READY |   RUNNING |
|              1040 |  1 |   WAITING |     READY |
|              1040 |  2 |   RUNNING |   WAITING |
|              1040 |  1 |     READY |   RUNNING |
|              1050 |  1 |   RUNNING |   WAITING |
|              1060 |  2 |   WAITING |     READY |
|              1060 |  2 |     READY |   RUNNING |
|              1070 |  1 |   WAITING |     READY |
|              1070 |  2 |   RUNNING |   WAITING |
|              1070 |  1 |     READY |   RUNNING |
|              1080 |  1 |   RUNNING |   WAITING |
|              1090 |  2 |   WAITING |     READY |
|              1090 |  2 |     READY |   RUNNING |
|              1100 |  1 |   WAITING |     READY |
|              1100 |  2 |   RUNNING |   WAITING |
|              1100 |  1 |     READY |   RUNNING |
|              1110 |  1 |   RUNNING |   WAITING |
|              1120 |  2 |   WAITING |     READY |
|              1120 |  2 |     READY |   RUNNING |
|              1130 |  1 |   WAITING |     READY |
|              1130 |  2 |   RUNNING |   WAITING |
|              1130 |  1 |     READY |   RUNNING |
|              1140 |  1 |   RUNNING |   WAITING |
|              1150 |  2 |   WAITING |     READY |
|              1150 |  2 |     READY |   RUNNING |
|              1160 |  1 |   WAITING |     READY |
|              1160 |  2 |   RUNNING |   WAITING |
|              1160 |  1 |     READY |   RUNNING |
|              1170 |  1 |   RUNNING |   WAITING |
|              1180 |  2 |   WAITING |     READY |
|              1180 |  2 |     READY |   RUNNING |
|              1190 |  1 |   WAITING |     READY |
|              1190 |  2 |   RUNNING |   WAITING |
|              1190 |  1 |     READY |   RUNNING |
|              1200 |  1 |   RUNNING |   WAITING |
|              1210 |  2 |   WAITING |     READY |
|              1210 |  2 |     READY |   RUNNING |
|              1220 |  1 |   WAITING |     READY |
|              1220 |  2 |   RUNNING |   WAITING |
|              1220 |  1 |     READY |   RUNNING |
|              1230 |  1 |   RUNNING |   WAITING |
|              1240 |  2 |   WAITING |     READY |
|              1240 |  2 |     READY |   RUNNING |
|              1250 |  1 |   WAITING |     READY |
|              1250 |  2 |   RUNNING |   WAITING |
|              1250 |  1 |     READY |   RUNNING |
|              1260 |  1 |   RUNNING |   WAITING |
|              1270 |  2 |   WAITING |     READY |
|              1270 |  2 |     READY |   RUNNING |
|              1280 |  1 |   WAITING |     READY |
|              1280 |  2 |   RUNNING |   WAITING |
|              1280 |  1 |     READY |   RUNNING |
|              1290 |  1 |   RUNNING |   WAITING |
|              1300 |  2 |   WAITING |     READY |
|              1300 |  2 |     READY |   RUNNING |
|              1310 |  1 |   WAITING |     READY |
|              1310 |  2 |   RUNNING |   WAITING |
|              1310 |  1 |     READY |   RUNNING |
|              1320 |  1 |   RUNNING |   WAITING |
|              1330 |  2 |   WAITING |     READY |
|              1330 |  2 |     READY |   RUNNING |
|              1340 |  1 |   WAITING |     READY |
|              1340 |  2 |   RUNNING |   WAITING |
|              1340 |  1 |     READY |   RUNNING |
|              1350 |  1 |   RUNNING |   WAITING |
|              1360 |  2 |   WAITING |     READY |
|              1360 |  2 |     READY |   RUNNING |
|              1370 |  1 |   WAITING |     READY |
|              1370 |  2 |   RUNNING |   WAITING |
|              1370 |  1 |     READY |   RUNNING |
|              1380 |  1 |   RUNNING |   WAITING |
|              1390 |  2 |   WAITING |     READY |
|              1390 |  2 |     READY |   RUNNING |
|              1400 |  1 |   WAITING |     READY |
|              1400 |  2 |   RUNNING |   WAITING |
|              1400 |  1 |     READY |   RUNNING |
|              1410 |  1 |   RUNNING |   WAITING |
|              1420 |  2 |   WAITING |     READY |
|              1420 |  2 |     READY |   RUNNING |
|              1430 |  1 |   WAITING |     READY |
|              1430 |  2 |   RUNNING |   WAITING |
|              1430 |  1 |     READY |   RUNNING |
|              1440 |  1 |   RUNNING |   WAITING |
|              1450 |  2 |   WAITING |     READY |
|              1450 |  2 |     READY |   RUNNING |
|              1460 |  1 |   WAITING |     READY |
|              1460 |  2 |   RUNNING |   WAITING |
|              1460 |  1 |     READY |   RUNNING |
|              1470 |  1 |   RUNNING |   WAITING |
|              1480 |  2 |   WAITING |     READY |
|              1480 |  2 |     READY |   RUNNING |
|              1490 |  1 |   WAITING |     READY |
|              1490 |  2 |   RUNNING |   WAITING |
|              1490 |  1 |     READY |   RUNNING |
|              1500 |  1 |   RUNNING |   WAITING |
|              1510 |  2 |   WAITING |     READY |
|              1510 |  2 |     READY |   RUNNING |
|              1520 |  1 |   WAITING |     READY |
|              1520 |  2 |   RUNNING |   WAITING |
|              1520 |  1 |     READY |   RUNNING |
|              1530 |  1 |   RUNNING |   WAITING |
|              1540 |  2 |   WAITING |     READY |
|              1540 |  2 |     READY |   RUNNING |
|              1550 |  1 |   WAITING |     READY |
|              1550 |  2 |   RUNNING |   WAITING |
|              1550 |  1 |     READY |   RUNNING |
|              1560 |  1 |   RUNNING |   WAITING |
|              1570 |  2 |   WAITING |     READY |
|              1570 |  2 |     READY |   RUNNING |
|              1580 |  1 |   WAITING |     READY |
|              1580 |  2 |   RUNNING |   WAITING |
|              1580 |  1 |     READY |   RUNNING |
|              1590 |  1 |   RUNNING |   WAITING |
|              1600 |  2 |   WAITING |     READY |
|              1600 |  2 |     READY |   RUNNING |
|              1610 |  1 |   WAITING |     READY |
|              1610 |  2 |   RUNNING |   WAITING |
|              1610 |  1 |     READY |   RUNNING |
|              1620 |  1 |   RUNNING |   WAITING |
|              1630 |  2 |   WAITING |     READY |
|              1630 |  2 |     READY |   RUNNING |
|              1640 |  1 |   WAITING |     READY |
|              1640 |  2 |   RUNNING |   WAITING |
|              1640 |  1 |     READY |   RUNNING |
|              1650 |  1 |   RUNNING |   WAITING |
|              1660 |  2 |   WAITING |     READY |
|              1660 |  2 |     READY |   RUNNING |
|              1670 |  1 |   WAITING |     READY |
|              1670 |  2 |   RUNNING |TERMINATED |
|              1670 |  1 |     READY |   RUNNING |
|              1680 |  1 |   RUNNING |   WAITING |
|              1700 |  1 |   WAITING |     READY |
|              1700 |  1 |     READY |   RUNNING |
|              1710 |  1 |   RUNNING |   WAITING |
|              1730 |  1 |   WAITING |     READY |
|              1730 |  1 |     READY |   RUNNING |
|              1740 |  1 |   RUNNING |   WAITING |
|              1760 |  1 |   WAITING |     READY |
|              1760 |  1 |     READY |   RUNNING |
|              1770 |  1 |   RUNNING |   WAITING |
|              1790 |  1 |   WAITING |     READY |
|              1790 |  1 |     READY |   RUNNING |
|              1800 |  1 |   RUNNING |   WAITING |
|              1820 |  1 |   WAITING |     READY |
|              1820 |  1 |     READY |   RUNNING |
|              1830 |  1 |   RUNNING |   WAITING |
|              1850 |  1 |   WAITING |     READY |
|              1850 |  1 |     READY |   RUNNING |
|              1860 |  1 |   RUNNING |   WAITING |
|              1880 |  1 |   WAITING |     READY |
|              1880 |  1 |     READY |   RUNNING |
|              1890 |  1 |   RUNNING |   WAITING |
|              1910 |  1 |   WAITING |     READY |
|              1910 |  1 |     READY |   RUNNING |
|              1920 |  1 |   RUNNING |   WAITING |
|              1940 |  1 |   WAITING |     READY |
|              1940 |  1 |     READY |   RUNNING |
|              1950 |  1 |   RUNNING |   WAITING |
|              1970 |  1 |   WAITING |     READY |
|              1970 |  1 |     READY |   RUNNING |
|              1980 |  1 |   RUNNING |   WAITING |
|              2000 |  1 |   WAITING |     READY |
|              2000 |  1 |     READY |   RUNNING |
|              2010 |  1 |   RUNNING |   WAITING |
|              2030 |  1 |   WAITING |     READY |
|              2030 |  1 |     READY |   RUNNING |
|              2040 |  1 |   RUNNING |   WAITING |
|              2060 |  1 |   WAITING |     READY |
|              2060 |  1 |     READY |   RUNNING |
|              2070 |  1 |   RUNNING |   WAITING |
|              2090 |  1 |   WAITING |     READY |
|              2090 |  1 |     READY |   RUNNING |
|              2100 |  1 |   RUNNING |TERMINATED |
+------------------------------------------------+
